,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
67,056451b28c4bfe6bf1536c1d67b33f312a06c656cd3c633f40cc5f5b85c6528b,file,31,0,76,40.79,Trojan:PowerShell/Malgent!MSR,2,No,,,,0,0
57,062c0a5c8f484bc975b3e5490718cc5c7f732f7f53ce35d81e94cd83c273f78b,file,0,0,0,0,undetected,2,No,,,,0,0
16,0c8b9fa67d1d149636b560a2ec8f9c50cd41ebf11f5691cf2ea39f1d057f8ff1,file,15,0,76,19.74,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
104,0c8d22d58a747ceccad56317b9c0afe58fe4b9f3c2138134e978e43a5f5ac390,file,24,0,76,31.58,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
53,0d44ff778dbecf8d951c54c199bd35ba0fe5ac817d5ef61b2fe998dfdb794560,file,4,0,76,5.26,,2,No,,,,0,0
3,0ddce15bea228c65d3b456759de0abc87aa6e805fd6c466347e9b76913a538ce,file,23,0,76,30.26,TrojanDropper:PowerShell/Doprimm.A,3,No,,,,0,0
102,11464f7ac40e3e5f771dfe19aee3b3d21cf526a11429038ba9de4c9d7e4bb42a,file,1,0,76,1.32,,2,No,,,,0,0
39,127c691f5a354fa0933ec3e9d9d1bb976c2de7092065d75ea66626c8dc007029,file,23,0,76,30.26,,2,No,,,,0,0
31,13265c0e32312a0763f3f8fed0f017a606355987ac9398bfb38f47c760ad32b0,file,15,0,76,19.74,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
108,1367dcf619cb935dc08d349fc18d3f9726cfceff151f4d57beff45591712189c,file,18,0,76,23.68,Trojan:Win32/Alevaul!rfn,2,No,,,,0,0
73,139b48d1b94a9c31a4c7ac1feaa7bf54b50f33ab8936f22404648233bf48cc95,file,8,0,76,10.53,,2,No,,,,0,0
110,184a400fe334027ff287ad0cf83c165fdf4605507c83ec054fb2b544f877163c,file,29,0,76,38.16,,5,No,,,,0,0
62,191a8766da98b1f992072045905cf82c771d8cb9f697d08873686778dc70c7f6,file,28,0,76,36.84,Trojan:PowerShell/Powdow.HBT!MTB,3,No,,,,0,0
32,194d739fa93970d63dade70aae7c3b9ac8a6938be9f0e2d470d3adf8c106bfad,file,26,0,76,34.21,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
23,1c6c79b07e45630debe31362e4c89ffab3560c4712470f7af891bb31539d153a,file,14,0,76,18.42,Trojan:Script/Wacatac.B!ml,2,No,,,,0,0
56,1d17937f2141570de62b437ff6bf09b1b58cfdb13ff02ed6592e077e2d368252,file,25,0,76,32.89,,5,No,,,,0,0
98,1e54b2e6558e2c92df73da65cd90b462dcafa1e6dcc311336b1543c68d3e82bc,file,27,0,76,35.53,,6,No,,,,0,0
72,1ec930716999f6a80a4f32624d8f907f2c7887e15b1c518d22f4aefe49367bba,file,25,0,76,32.89,,2,No,,,,0,0
38,1f38a9e17e5096bca84b6ec87eb5470b2ce4450a6a03b3e41b38dbd91ab281da,file,19,0,76,25,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
75,1f52416232bf57e6cbd8a72335a5f321cf8a571e53b043ee69dc3647d4978844,file,5,0,76,6.58,,2,No,,,,0,0
61,27567140d447dc662a178989be84d50c40233d6958251c02a02c097f6650024d,file,0,0,0,0,undetected,2,No,,,,0,0
103,2938261c867331e12e7cff9ee28366f3986986108eeb00507db74cf0d7b6aad2,file,26,0,76,34.21,Trojan:PowerShell/Obfuse!MSR,3,No,,,,0,0
17,2ba527fb8e31cb209df8d1890a63cda9cd4433aa0b841ed8b86fa801aff4ccbd,file,24,0,76,31.58,Trojan:PowerShell/Msix.A,9,No,,,,0,0
70,2bd6b5cbeddab8b01e14ed4c073afdbd4316340aada77e3e55ba5e1af21652f7,file,23,0,76,30.26,TrojanDropper:PowerShell/Doprimm.A,2,No,,,,0,0
6,2c59f3552a77d2c9527970ae99e204ec279756ac24815a899ab43356420057e7,file,4,0,76,5.26,,2,No,,,,0,0
35,2fd9e14830bbeef24fdff29a850a6164af4c4722d742185e022df9106029b587,file,1,0,76,1.32,TrojanDropper:PowerShell/Doprimm.A,2,No,,,,0,0
52,358ac037d444ece8c21fa85ad71338a3ff0a10b1b0672217ae38eac18b03661f,file,0,0,0,0,undetected,2,No,,,,0,0
20,36b79a3eca6d0ee23daf10c436f4ec5c8c279fbfd79c965c7e37515c148c3c5b,file,25,0,76,32.89,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
12,37990aecf5fecc61e4b3a3f5eaec14c8ed03cb20681dc53c367d5541600f9312,file,16,0,76,21.05,,2,No,,,,0,0
46,3802c396e836de94ee13e38326b3fb937fcf0d6f6ef9ccdf77643be65de4c8ee,file,6,0,76,7.89,,2,No,,,,0,0
14,381c6f7f8c12ea1ac483dad9ac71c09fa807bd1ffe2479f6d6c7da14013e7899,file,16,0,76,21.05,,2,No,,,,0,0
2,3869340562136d1d8f11c304f207120f9b497e0a430ca1a04c0964eb5b70f277,file,24,0,76,31.58,Trojan:PowerShell/Malgent!MSR,4,No,,,,0,0
1,3bdaa78077bd71e40b62ec2d6797c027f0b8deba9c3a7de9eb22823ad05c8201,file,25,0,76,32.89,Trojan:PowerShell/Obfuse!MTB,3,No,,,,0,0
4,3c6dacad931bf24eb953858c0bb3e49fe821d111d9003c9fffcb814ae6e8edf8,file,25,0,76,32.89,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
105,3f4b5b22b53f2fdeb7a82c94ac4d846f1e4ac0e9d055020f2f063598025b4674,file,0,0,76,0,,2,No,,,,0,0
101,401c5d2157d303df1ca465ff4097ee4474574c39f614cbb5734193a3917354c0,file,28,0,76,36.84,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
79,41c671332b58f92187e32771ed1ba86c1ed256e36f036f74c91cf1aa7db07bc2,file,28,0,76,36.84,Trojan:PowerShell/Malgent!MSR,4,No,,,,0,0
59,4665c7b360b18496be00246eb3bc886e83b22028e95156101bf73bf0c48dddd3,file,23,0,76,30.26,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
51,4814ea15da1826d9ef400c3e607ca87d11b18b8a1b4f43f13afa93467429dfb8,file,28,0,76,36.84,Trojan:PowerShell/Powdow.HBT!MTB,3,No,,,,0,0
65,494460a17bec58d47212c907e7e7706dc80e99b27a022558637caebc2867e574,file,17,0,76,22.37,TrojanDropper:PowerShell/Doprimm!rfn,2,No,,,,0,0
13,4c2f8feced7768f756ac7d4fa633b08fd61f0ba198c860fa4f1093dedbf060d2,file,22,0,76,28.95,Trojan:Win32/Seheq!rfn,4,No,,,,0,0
64,4d03c2a47265eab0c87006a4a2965fcf394fbdabb8e86cbe16b36376d04b8143,file,24,0,76,31.58,,3,No,,,,0,0
71,4f71162cef29a8b7feb56574b99c0eccd82c39d226b408c1e7233971588edee5,file,21,0,76,27.63,Trojan:Win32/Seheq!rfn,2,No,,,,0,0
106,5072735b87e62c0239099fcd3d74a677e1b4c6497e0b17ed8ea4c83778c13039,file,25,0,76,32.89,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
49,50a5e6a357c841e6c2058ee658c70756da4b803f2a4f6d2cf96ab882a03a5294,file,26,0,76,34.21,Trojan:PowerShell/Obfuse!MTB,3,No,,,,0,0
24,50b102938d29cc7f61c67da6981545c69f70c7178d009ec1999ee0ddfe81ebba,file,23,0,76,30.26,,4,No,,,,0,0
42,50cbf5b9ce69a5c9f9adaf59bf53f4f0609afcba36826e2fa88ca6cedbc06e7a,file,7,0,76,9.21,,2,No,,,,0,0
109,5303183d82b8c4d2a47fab4167868a8cfbf8d56d3397701ab890e88c99105ae4,file,23,0,76,30.26,Trojan:Win32/Alevaul!rfn,2,No,,,,0,0
29,547ef48f46ecfe31ee7edc7bbff0c2406f43d11915bcef84372172873012eacd,file,20,0,76,26.32,,2,No,,,,0,0
69,58ab8b2a21e33b0700d11efd5a677bd98e536e200b45e22aa06059c1088063f7,file,24,0,76,31.58,Trojan:Win32/Seheq!rfn,3,No,,,,0,0
78,58cb66268b58d7ca77fb5f5df668ffa76a23854a6267914fc3973dbf92394612,file,23,0,76,30.26,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
89,5e9362dba53021ab588e396e1cb28100718471f07c5dd5cafa6bf5728f014b97,file,28,0,76,36.84,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
48,6053d67835d2925c52263bdb9e4d7475e1015ea9cc4c8f994cfa7e0dbdb7e27f,file,24,0,76,31.58,,2,No,,,,0,0
43,62242df8c7db337e46f44c4323ac9738adba89f095deb8e5d873ee8b35fa5079,file,4,0,76,5.26,,2,No,,,,0,0
96,63629c87fe460abb657a504bb9786b913b1250288681520cee9e9fbcb14e888f,file,22,0,76,28.95,,2,No,,,,0,0
47,65b601f8154bddd42cb31ce166697335e79f2e713655865bee66654c51e7c1dc,file,30,0,76,39.47,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
22,69d267234d62fd6ffd1c6a12b36835b1454dce4a6df1b370e549e275961ae235,file,21,0,76,27.63,,2,No,,,,0,0
100,6fdeb1c2f4b5bc4ff6ea9635ca72d8670c07cfd17d3b7779caee22b96727f732,file,0,0,76,0,,2,No,,,,0,0
58,7363086b152422c99618377e384874a17a708d9eb217c0a7c6f8b6f3216f1e4c,file,20,0,76,26.32,,2,No,,,,0,0
84,76f98321f50595725f64f058d8f33103d518c5d77680fd7d5521c41786299358,file,21,0,76,27.63,,2,No,,,,0,0
60,802338ddade5c023b83dd2111fe30b7d5b4b21b86408e91544345e0c45702a1d,file,9,0,76,11.84,,2,No,,,,0,0
66,84f2d273623efb6cdd126a89c1f9567e8977d21ffe684758dd722a27d2d53aa9,file,15,0,76,19.74,,4,No,,,,0,0
21,8515d46da83fb649db969b2acca47cd10f232174af358560210b362a56594fd1,file,19,0,76,25,,2,No,,,,0,0
83,8684e74d35baab30e8f8af7db486c2a339d3063feb2074109b8c96c1fea8313e,file,31,0,76,40.79,Trojan:Win32/Casdet!rfn,3,No,,,,0,0
95,8719ccdb87c8b2c4e312208bd17a8df42a1683c10bb32699bb415a66f0dbdda0,file,23,0,76,30.26,Trojan:Win32/Seheq!rfn,2,No,,,,0,0
93,890cf9827361add4c2a6e5b93f7f9ccc9bb2f555e0cd535de144203f7156a959,file,13,0,76,17.11,,2,No,,,,0,0
19,8b7be1efcddddc3a29ae0514a6ae758e7f86be193ffe380e5e1e38dc22affb38,file,23,0,76,30.26,,2,No,,,,0,0
91,8d5d4e48ce623085efec9a56981b0ab74f1180f3b42614df88f11da543f2849a,file,25,0,76,32.89,Trojan:PowerShell/Boxter!MSR,2,No,,,,0,0
8,8d8d21f2c28f3e44b7253583e04d11cf7e7453dab139c187201f80e70d89b579,file,27,0,76,35.53,,3,No,,,,0,0
10,902c9aba42378c40c6c9623bab2326cb8b98fa06cfc0ee0379349055137c9500,file,22,0,76,28.95,,6,No,,,,0,0
5,908ef89767bcd583edb96a8c12f3046b9db522cc7310e2c20799881d7bf75f9d,file,25,0,76,32.89,Trojan:Win32/Seheq!rfn,2,No,,,,0,0
88,9112b8623844774b056c842da3417f75c86bff115d5d15db2d6226c6ffd98895,file,23,0,76,30.26,,3,No,,,,0,0
33,91c2fbc594469839ad062e7cf359f2451fe8a14f041d8afe515ceab800c35133,file,17,0,76,22.37,,2,No,,,,0,0
15,94bb5b8cc0a2d01d4f65294c816299b97dd38bc7be8fc9089dc90cc969995528,file,20,0,76,26.32,,2,No,,,,0,0
54,952cac8ec226b4ed38a2631c220bb80409edbc0c9a0ac2793b879a259172282b,file,25,0,76,32.89,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
92,96e20ac7d4b018b360672f3fd9e63d3429bb4dee3974951c70699f44c87278c2,file,1,0,76,1.32,TrojanDropper:PowerShell/Doprimm.A,2,No,,,,0,0
0,974285914961125d2963435c3dbe49b882cd88d95563b1ae3a62cd6240618c16,file,21,0,76,27.63,,2,No,,,,0,0
82,9a4e39fcb4033a9c849890085b67faea7265eaf56744e77aa8180b1834b7e14a,file,24,0,76,31.58,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
77,a309753efca5242bbc9ca0e54a381ef2bac6625a0f591d79f8525e1ec196be4e,file,27,0,76,35.53,Trojan:PowerShell/Obfuse!MTB,3,No,,,,0,0
50,a38f1ccf9d3e29e39fcb01b53fc245eac2128c4219c6567891dba4f6529f98c1,file,16,0,76,21.05,Trojan:Win32/Alevaul!rfn,2,No,,,,0,0
86,a67d73996a5479312f4a4ea4fccdde293695359aa6b6da06c01248066a7131f9,file,23,0,76,30.26,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
45,a98d6df438ba2615107642c7c6da104de1c9aefdb0f184aead763ae3057c11e9,file,16,0,76,21.05,,2,No,,,,0,0
55,aadf323d8052da80c761ab9d05717603804405ee33e624926009a30d857d6d1a,file,28,0,76,36.84,Trojan:PowerShell/Powdow.HBT!MTB,3,No,,,,0,0
97,abd4263c97ab33b22f67e581ebb09ec7b98e4084dd32a7eca6502d3737715769,file,4,0,76,5.26,TrojanDropper:PowerShell/Doprimm.A,2,No,,,,0,0
25,af3530b841049f90b9f5c818910f1877ef8f89bea0454fe72ada397e9bef1565,file,13,0,76,17.11,,2,No,,,,0,0
18,b3f46a63817a2076e3de49957d5801eb8ede9dc1498bdab702fcc6f8cccf0e61,file,23,0,76,30.26,,1,No,,,,0,0
63,b417396efb07943d380182d610da313607308a74fc0dc77318407a5248cbab6e,file,31,0,76,40.79,Trojan:PowerShell/Malgent!MSR,2,No,,,,0,0
85,b7b7516063052b84f3d240b66630b01d0c098376dba531c5ae9dbcaa1a099820,file,25,0,76,32.89,Trojan:Win32/Seheq!rfn,2,No,,,,0,0
76,bc3f10302a62a5e100a2a31e50a9c32a554d74015f17be2299273d143d2b42de,file,3,0,76,3.95,,2,No,,,,0,0
107,bdd89826ab8d3e3c03833b1ea8e4b0a34c80f13bfa5882e5b82f896cec41d141,file,30,0,76,39.47,Trojan:Win32/Casdet!rfn,3,No,,,,0,0
90,bfc1064d3624c7bc68ef6b8ce2b0f40229d5981472c8b443c58f38bf3f461b2a,file,20,0,76,26.32,TrojanDropper:PowerShell/Doprimm!rfn,2,No,,,,0,0
11,c220f9ba0ee8445ab6d36f19d7cf24fd6df72eea41b9ba40f585451ee24c0f6d,file,27,0,76,35.53,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
34,c2f1c765b03b4ae0c08455c2b5e917ba8564ad945c3580a1e622169aad67807a,file,24,0,76,31.58,,3,No,,,,0,0
94,c399fe7ba04828aeadd881d7daa17dc0e3b880e95cc1aa2295c510f6bd8aa1d4,file,9,0,76,11.84,,2,No,,,,0,0
40,c5fa7fd1ff45c5cfaec851795f4c2e15326046f3022778bdf6f37b7b1dd75f5c,file,11,0,76,14.47,Trojan:PowerShell/Obfuse!rfn,2,No,,,,0,0
28,c8d9270a38a2e6e0659b6b9aab7543add0d1bc521afb51f7dcf68c7426a8d57e,file,21,0,76,27.63,,2,No,,,,0,0
30,c902a206da5c3e1a4b8b8ba9f0e63f314e8cadcf044c25f729176b29c19bcbbb,file,32,0,76,42.11,Trojan:Win32/Casdet!rfn,2,No,,,,0,0
80,d6fce7c094994b19d96c9ebcccc07b9fb5efda2e4e1da352d9e0e031f0457c5e,file,7,0,76,9.21,,2,No,,,,0,0
44,da43703c733a1b0af183fdb61877b5c15651c21ffcc3a49c6addc83d76c10329,file,24,0,76,31.58,,2,No,,,,0,0
81,de88ae471d8b95e5e10264aea5eb040fedb9bb71428385e7cff6c77a6ae47d97,file,21,0,76,27.63,,2,No,,,,0,0
7,e145db8668b15278cc55b723df9f296103ef2ea3511d90e2bbb2ffa5291d4ae4,file,0,0,0,0,undetected,2,No,,,,0,0
68,e300c44b45b07f3766586e500f4f3596c23ffd80171eaa5334bb4db3e8d027e0,file,22,0,76,28.95,,3,No,,,,0,0
27,e4fff1e153ef46a29865f28df724e7a3246809d9ae75a7546b580938acbbcb73,file,25,0,76,32.89,,3,No,,,,0,0
37,e580dd04cbe2407ac7ab06d148297231cffbb8f8f986ce1e152383970927bb71,file,17,0,76,22.37,TrojanDropper:PowerShell/Doprimm,2,No,,,,0,0
26,e9010ab2a031125f12225d8b1f19ac65bc03b87332dc5caa35028a577b9ca0fe,file,26,0,76,34.21,Trojan:PowerShell/Malgent!MSR,2,No,,,,0,0
9,e9b0cc2118a7a07709b56f7358c07f4a2959f81c87da5f565fa08382768fac8b,file,2,0,76,2.63,,2,No,,,,0,0
99,ee6a58d1e3ce4f2e7fac7bb3c1f1c24836bcc79f456035aede52b7d14a7de77f,file,23,0,76,30.26,,2,No,,,,0,0
41,f015da1f2ada32f734b81aa282bea62840cd84afaa353ca52d5e2d0c82e705d1,file,25,0,76,32.89,,4,No,,,,0,0
87,f10bd5443148d47fbf7c6a6998651eb9bda4c7c9213f9e5a65a76e98637cb748,file,6,0,76,7.89,,2,No,,,,0,0
36,f4052e52fed661fd05ea39a5187781ec6c234c5d7ea4ab91cd77f2e1d2c709b5,file,31,0,76,40.79,Trojan:PowerShell/Obfuse.RP!MTB,2,No,,,,0,0
74,fbe1970d89b8546cd57522bf479e8be08fec4f3df9bdf79d0f3436250ce38379,file,19,0,76,25,,2,No,,,,0,0
